Centroid Latitude,Centroid Longitude,Name,Country Name,Closest Location Latitude,Closest Location Longitude,Number of Bombing At Location
48.01712,13.00943,Dorfbeuern,Austria,48.01667,13.01667,110
46.67633,17.60717,Lengyeltoti,Hungary,46.67013,17.64398,11
49.79813,8.54164,Riedstadt,Germany,49.83411,8.49621,2518
40.99435,14.52503,Roccarainola,Italy,40.9725,14.54283,950
43.05707,22.23677,Vlasotince,Serbia,42.96697,22.13402,11
50.77226,11.29599,Rudolstadt,Germany,50.72043,11.34046,135
43.84477,6.99312,Tourrettes-sur-Loup,France,43.71569,7.05892,25
59.93537,10.43659,Oslo,Norway,59.9127,10.7461,11
53.00532,8.20048,Wardenburg,Germany,53.06667,8.2,67
43.91308,18.51635,Sarajevo,Bosnia and Herzegovina,43.8486,18.3564,17
52.50034,17.13197,Kobylnica,Poland,52.44597,17.07644,43
45.43096,9.76276,Camisano,Italy,45.44484,9.74526,614
49.99238,19.44673,Zator,Poland,49.99604,19.43799,47
48.22754,-2.60055,Plemet,France,48.17713,-2.59433,33
50.73299,3.38633,Pottes,Belgium,50.73294,3.40703,132
35.89927,14.43573,Valletta,Malta,35.8997,14.5147,68
47.6681,10.08997,Maierhofen,Germany,47.65,10.05,67
50.32649,13.19985,Klasterec nad Ohri,Czech Republic,50.3886,13.18342,44
54.71118,9.69135,Sorup,Germany,54.71667,9.66667,228
51.11921,7.20146,Wermelskirchen,Germany,51.1397,7.21583,1517
47.29037,15.25869,Frohnleiten,Austria,47.26667,15.31667,268
42.80431,12.65459,Castel Ritaldi,Italy,42.82247,12.6742,285
45.21762,13.83193,Tinjan,Croatia,45.21806,13.83944,76
35.16853,25.12972,Profitis Ilias,Greece,35.20555,25.09985,64
45.33776,-0.63056,Saint-Ciers-sur-Gironde,France,45.29097,-0.61075,49
53.7849,11.61829,Zurow,Germany,53.86429,11.61434,97
39.1152,16.56723,Taverna,Italy,39.022,16.58081,390
48.76867,2.34534,Paris,France,48.8534,2.3488,175
42.98535,24.78084,Troyan,Bulgaria,42.89427,24.71589,15
49.39236,10.82026,Grosshabersdorf,Germany,49.4,10.78333,169
46.69959,15.113,Sankt Oswald ob Eibiswald,Austria,46.70833,15.14667,43
45.09442,11.26633,Bergantino,Italy,45.06145,11.25237,820
40.94447,19.71185,Lushnje,Albania,40.94194,19.705,26
51.93232,4.45444,Spangen,Netherlands,51.91688,4.43539,422
50.85076,15.15891,Hejnice,Czech Republic,50.8772,15.18168,21
52.51427,6.15771,Berkum,Netherlands,52.52395,6.13655,57
53.40678,13.01096,Neustrelitz,Germany,53.3613,13.07292,184
44.97134,25.50582,Gorgota,Romania,44.97626,25.50837,24
52.14354,9.0982,Rinteln,Germany,52.18604,9.07917,125
48.44518,12.02923,Wartenberg,Germany,48.40597,11.98865,81
49.72409,5.82122,Luxembourg,Luxembourg,49.6117,6.1300,265
38.24569,23.86671,Athínai (Athens),Greece,37.9534,23.7490,160
47.04302,20.23486,Rakocziujfalu,Hungary,47.06667,20.26667,42
48.31025,-3.88458,Brasparts,France,48.30129,-3.95546,22
43.54772,-0.28049,Garlin,France,43.56079,-0.27182,12
