Centroid Latitude,Centroid Longitude,Name,Country Name,Closest Location Latitude,Closest Location Longitude,Number of Bombing At Location
47.75459,10.88771,Peiting,Germany,47.79549,10.92951,73
50.47722,4.21507,Fayt-lez-Manage,Belgium,50.48698,4.22959,18
40.79337,22.89926,Melissochori,Greece,40.76796,22.92858,46
54.18237,13.01919,Wittenhagen,Germany,54.18379,13.07133,13
52.70321,8.28825,Vechta,Germany,52.72632,8.28598,80
40.9223,14.35421,Casalnuovo di Napoli,Italy,40.90969,14.34205,703
35.17388,25.55802,Kritsa,Greece,35.15821,25.64459,14
49.14108,-0.51058,Tourville-sur-Odon,France,49.14154,-0.50128,437
50.40434,8.15857,Runkel,Germany,50.40574,8.15457,48
43.3514,11.1931,Monteriggioni,Italy,43.38994,11.22323,97
47.71628,7.08393,Guewenheim,France,47.75283,7.09253,17
51.52276,11.53059,Eisleben Lutherstadt,Germany,51.52754,11.54835,43
49.75126,1.3118,Mesnieres-en-Bray,France,49.76172,1.38187,121
45.337,8.75428,Gravellona,Italy,45.32766,8.76414,140
50.92957,6.735,Kerpen,Germany,50.86991,6.69691,1468
35.89927,14.43573,Valletta,Malta,35.8997,14.5147,68
50.57679,15.26751,Rovensko pod Troskami,Czech Republic,50.53532,15.25941,21
47.77423,5.20144,Langres,France,47.86263,5.33308,13
53.83281,10.76534,Gross Gronau,Germany,53.8,10.75,107
52.14692,14.08541,Tauche,Germany,52.15,14.16667,11
45.34839,20.85676,Boka,Serbia,45.3554,20.82987,12
46.80086,12.57836,Anras,Austria,46.77389,12.56083,42
38.37875,16.06586,San Giorgio Morgeto,Italy,38.3919,16.0879,103
45.36218,11.77105,Abano Terme,Italy,45.35753,11.78725,360
49.20233,9.63001,Waldenburg,Germany,49.18468,9.63994,43
50.6366,5.54069,Glain,Belgium,50.64772,5.5438,21
50.91976,9.89283,Friedewald,Germany,50.88333,9.86667,51
50.43138,13.48478,Udlice,Czech Republic,50.4406,13.45738,226
48.70433,1.43371,Mezieres-en-Drouais,France,48.72413,1.4244,18
43.35798,13.47202,Montecassiano,Italy,43.36518,13.4395,78
42.37677,19.42917,Podgorica,Montenegro,42.4411,19.2636,34
50.96486,2.93412,Houthulst,Belgium,50.97824,2.9505,413
44.35942,23.87367,Mischii,Romania,44.38333,23.85,16
40.47565,20.02569,Buz,Albania,40.445,20.00472,26
52.19363,5.04674,Amsterdam,Netherlands,52.3740,4.8897,250
52.79675,12.41554,Dreetz,Germany,52.80297,12.45961,45
54.36662,8.98274,Oldenswort,Germany,54.37243,8.93996,111
49.25303,7.38872,Zweibruecken,Germany,49.24686,7.36977,30
49.61398,5.86077,Luxembourg,Luxembourg,49.6117,6.1300,293
43.38025,0.52277,Masseube,France,43.42965,0.57888,33
50.4683,12.2713,Bergen,Germany,50.471,12.27448,135
44.39236,26.03145,Bucuresti (Bucharest),Romania,44.4328,26.1043,114
51.62554,8.02914,Welver,Germany,51.61667,7.96667,262
50.46219,19.56294,Ogrodzieniec,Poland,50.45177,19.51987,12
51.9053,10.26828,Langelsheim,Germany,51.93789,10.33264,45
37.97402,13.31797,Santa Cristina Gela,Italy,37.98514,13.32747,164
44.82222,10.0166,Salsomaggiore Terme,Italy,44.81592,9.98637,475
43.81615,20.42406,Cacak,Serbia,43.89139,20.34972,13
48.20284,16.36873,Wien (Vienna),Austria,48.2064,16.3707,1131
48.99883,12.71803,Neukirchen,Germany,48.97506,12.75547,109
47.9347,3.25027,Saint-Julien-du-Sault,France,48.03188,3.29556,12
50.32311,18.33588,Slawiecice,Poland,50.37207,18.32176,386
45.39901,10.42616,Novagli,Italy,45.38688,10.43874,307
42.83785,12.85692,Cerreto di Spoleto,Italy,42.82188,12.92032,48
40.13905,18.22681,Cutrofiano,Italy,40.12616,18.2026,22
51.1293,4.50643,Bruxelles-Brussel,Belgium,50.8467,4.3499,150
43.44342,5.44127,Simiane-Collongue,France,43.43067,5.43454,14
47.76542,9.57684,Ravensburg,Germany,47.78198,9.61062,164
