Centroid Latitude,Centroid Longitude,Name,Country Name,Closest Location Latitude,Closest Location Longitude,Number of Bombing At Location
50.19548,15.67721,Nechanice,Czech Republic,50.23737,15.63276,31
47.49389,-1.63354,La Grigonnais,France,47.52704,-1.66749,126
50.57616,6.70979,Bad Muenstereifel,Germany,50.55667,6.76424,224
44.89018,10.18032,Fontanellato,Italy,44.88187,10.17631,1045
49.65256,11.22975,Grafenberg,Germany,49.64426,11.24971,158
38.15623,15.79433,Santo Stefano in Aspromonte,Italy,38.16909,15.78983,488
49.94649,3.66518,Etreux,France,49.98333,3.65,22
47.39202,12.19019,Westendorf,Austria,47.43208,12.21406,24
48.10861,7.98158,Gutach im Breisgau,Germany,48.11667,7.98333,112
48.29249,16.79665,Bratislava,Slovakia,48.1482,17.1067,185
42.19112,12.3637,Vatican City,Holy See,41.9024,12.4533,445
48.86699,13.12543,Lalling,Germany,48.84525,13.14008,31
51.51851,8.67311,Bad Wuennenberg,Germany,51.52002,8.69934,211
46.6286,14.36815,Ebenthal,Austria,46.60806,14.36417,326
39.78639,22.47833,Makrychori,Greece,39.8,22.48333,11
35.17034,25.44032,Mokhos,Greece,35.26342,25.42305,15
48.34611,10.23674,Rieden an der Kotz,Germany,48.38499,10.25711,33
53.34443,14.49844,Przeclaw,Poland,53.37447,14.47251,157
53.09281,5.65826,Scharnegoutum,Netherlands,53.06051,5.67822,94
49.55922,23.47186,Dubliany,Ukraine,49.50335,23.39889,19
51.6887,13.89152,Kalawa,Germany,51.74402,13.95329,165
53.20971,8.81079,Osterholz-Scharmbeck,Germany,53.22698,8.79528,1348
44.57553,8.31203,Mombaldone,Italy,44.57025,8.33302,115
51.01877,4.79594,Begijnendijk,Belgium,51.01942,4.78377,60
51.34965,12.23578,Schkeuditz,Germany,51.39678,12.22141,338
48.45391,-3.89432,Plouneour-Menez,France,48.43917,-3.89159,22
41.26214,19.61685,Tiranë (Tirana),Albania,41.3275,19.8189,28
53.01882,10.69384,Weste,Germany,53.05943,10.70283,17
47.96102,3.33692,Cezy,France,47.99265,3.34067,12
47.17667,16.41281,Badersdorf,Austria,47.1961,16.3748,59
50.40125,2.42736,Pernes,France,50.48437,2.41253,185
49.34495,8.1425,Neustadt an der Weinstrasse,Germany,49.35009,8.13886,199
40.32434,15.30417,Campora,Italy,40.30541,15.29236,283
44.42214,11.37406,Rastignano-Carteria di Sesto,Italy,44.43623,11.35695,756
48.10673,-0.61218,Argentre,France,48.08435,-0.64106,48
46.16841,8.2135,San Lorenzo,Italy,46.1272,8.20065,74
50.36215,6.09988,Waimes,Belgium,50.41488,6.11207,29
49.66838,17.19751,Stepanov,Czech Republic,49.68404,17.22041,12
50.86463,3.70342,Sint-Maria-Horebeke,Belgium,50.83885,3.68754,18
35.89927,14.43573,Valletta,Malta,35.8997,14.5147,68
50.62896,9.90486,Hofbieber,Germany,50.58629,9.83534,118
35.41996,23.76379,Kolympari,Greece,35.54115,23.77995,53
53.11975,6.87159,Veendam,Netherlands,53.10667,6.87917,122
46.31574,10.18694,Grosotto,Italy,46.28196,10.25908,25
47.18387,0.69263,Sorigny,France,47.24329,0.6952,32
45.53407,11.31479,Arzignano,Italy,45.52027,11.33446,138
44.84124,17.23809,Trn,Bosnia and Herzegovina,44.85829,17.23583,12
51.808,5.91783,Berg en Dal,Netherlands,51.82167,5.91667,73
43.49985,19.30333,Rudo,Bosnia and Herzegovina,43.61781,19.36719,29
51.98254,4.45147,Berkel en Rodenrijs,Netherlands,51.99313,4.47865,424
48.1704,13.99843,Wispl,Austria,48.16488,13.99753,12
49.30498,6.84271,Schwalbach,Germany,49.3,6.81667,155
47.77248,9.41906,Markdorf,Germany,47.71916,9.39028,164
53.97742,9.55572,Hohenaspe,Germany,53.98898,9.52774,59
50.32031,19.20703,Dabrowa Gornicza,Poland,50.33394,19.20479,34
49.07434,-0.05909,Canon,France,49.0738,-0.09219,474
46.63767,15.33013,Oberhaag,Austria,46.6869,15.33202,23
43.69008,16.58648,Dicmo Kraj,Croatia,43.6375,16.58194,36
45.54136,-0.24013,Segonzac,France,45.61807,-0.21986,54
42.87663,12.43418,Collazzone,Italy,42.90147,12.43582,372
39.21735,8.87947,Capoterra,Italy,39.1752,8.97199,62
39.91412,16.14308,Morano Calabro,Italy,39.84138,16.13837,88
49.22007,10.25795,Dombuhl,Germany,49.25349,10.28542,34
49.73636,1.36542,Mesnieres-en-Bray,France,49.76172,1.38187,93
37.61867,14.28734,Calascibetta,Italy,37.59024,14.2718,99
52.33294,8.10503,Belm,Germany,52.3,8.13333,282
50.88073,7.67995,Morsbach,Germany,50.86665,7.72787,87
42.58003,13.69359,Castel Castagna,Italy,42.54294,13.7164,49
48.29483,12.04213,Lengdorf,Germany,48.25737,12.04973,72
45.41834,18.01274,Caglin,Croatia,45.34972,17.98972,45
51.32036,11.12256,Bad Frankenhausen,Germany,51.35609,11.09977,58
46.15145,12.23721,Belluno,Italy,46.14262,12.2156,24
52.59472,12.44792,Nennhausen,Germany,52.6,12.5,93
50.11507,14.2907,Praha (Prague),Czechia,50.0880,14.4208,77
51.86913,9.98012,Kreiensen,Germany,51.85363,9.96481,116
54.87615,8.75427,Neukirchen,Germany,54.86667,8.73333,142
43.3113,11.09089,Casole d'Elsa,Italy,43.34115,11.04794,124
40.78567,19.93323,Magjate,Albania,40.79167,19.92889,27
49.45649,-1.51074,Valognes,France,49.50881,-1.47047,502
47.92397,13.04541,Obertrum am See,Austria,47.93722,13.07722,113
49.73979,9.80239,Waldbrunn,Germany,49.75861,9.80361,71
48.31851,-2.8068,Ploeuc-sur-Lie,France,48.35,-2.75,24
48.64595,2.42781,Paris,France,48.8534,2.3488,74
46.2019,13.28668,Nimis,Italy,46.20659,13.26777,161
40.59934,17.34189,Montemesola,Italy,40.5676,17.33665,112
45.59326,9.09307,Cesate,Italy,45.59587,9.07574,204
49.15002,9.64332,Waldenburg,Germany,49.18468,9.63994,52
48.20185,16.18881,Wien (Vienna),Austria,48.2064,16.3707,1425
43.6232,1.46938,Toulouse,France,43.60426,1.44367,12
49.6972,5.82309,Luxembourg,Luxembourg,49.6117,6.1300,265
53.71374,11.14792,Gadebusch,Germany,53.70137,11.11676,15
50.51518,8.20498,Merenberg,Germany,50.50707,8.19194,100
41.41667,14.18436,Pratella,Italy,41.40579,14.17913,402
44.84791,22.64292,Balta,Romania,44.88694,22.63694,20
47.07436,-0.07094,Saint-Leger-de-Montbrun,France,47.0,-0.13333,14
50.97007,2.79953,Reninge,Belgium,50.94781,2.78892,722
50.58931,12.90189,Elterlein,Germany,50.57663,12.86836,195
49.1247,12.06201,Zeitlarn,Germany,49.07848,12.11174,20
47.18819,2.14169,Foecy,France,47.17618,2.16257,15
52.28156,6.89486,Zuid-Berghuizen,Netherlands,52.30083,6.93333,92
53.52679,7.8698,Jever,Germany,53.57368,7.89806,760
49.70234,7.71189,Meisenheim,Germany,49.70721,7.66765,217
52.1988,9.03729,Rinteln,Germany,52.18604,9.07917,56
43.14482,20.59625,Novi Pazar,Serbia,43.13667,20.51222,33
50.72153,4.40187,Bruxelles-Brussel,Belgium,50.8467,4.3499,75
50.44991,12.23704,Tirpersdorf,Germany,50.43333,12.25,135
45.78284,19.36548,Ruski Krstur,Serbia,45.56392,19.42002,11
54.71298,9.77703,Sterup,Germany,54.7265,9.73572,80
47.61148,7.02011,Montreux-Chateau,France,47.61003,6.99923,19
49.66842,0.86818,Yerville,France,49.6672,0.89594,104
46.84728,16.02595,Neuhaus am Klausenbach,Austria,46.86667,16.03333,26
39.19382,16.83488,Belvedere Spinello,Italy,39.20674,16.89233,159
47.19867,11.3949,Patsch,Austria,47.20527,11.4151,177
44.79563,-0.36355,Creon,France,44.77456,-0.34817,85
45.10715,16.33759,Dvor,Croatia,45.07032,16.37753,15
45.19879,20.04256,Kovilj,Serbia,45.23422,20.02327,14
48.90203,10.71796,Polsingen,Germany,48.92067,10.7115,17
48.20367,-1.60838,Chevaigne,France,48.21142,-1.62966,172
51.37954,7.61345,Nachrodt-Wiblingwerde,Germany,51.31667,7.61667,519
49.09412,1.59154,Gasny,France,49.09184,1.60336,37
48.86002,8.69447,Pforzheim,Germany,48.88436,8.69892,225
49.25376,3.43812,Coincy,France,49.16036,3.42202,11
50.22334,10.93734,Ahorn,Germany,50.23762,10.95417,39
47.68357,10.63493,Lengenwang,Germany,47.7,10.6,49
52.07869,6.33069,Vorden,Netherlands,52.105,6.30972,82
50.1721,8.94949,Bruchkoebel,Germany,50.17853,8.92315,1349
43.91395,12.40413,San Marino,San Marino,43.9333,12.4500,112
53.87207,13.38649,Jarmen,Germany,53.92385,13.34032,212
46.62226,-1.537,Les Clouzeaux,France,46.63035,-1.5094,361
43.93975,7.1407,Monaco,Monaco,43.7333,7.4167,12
44.47155,9.16358,Neirone,Italy,44.45482,9.19133,416
49.85287,6.64955,Kordel,Germany,49.83333,6.63333,77
47.48171,17.48136,Tet,Hungary,47.51922,17.50802,121
54.12433,10.73735,Kasseedorf,Germany,54.16667,10.71667,29
37.86312,12.65925,Fulgatore-Torretta,Italy,37.94977,12.69303,663
50.50407,13.79941,Bilina,Czech Republic,50.54854,13.77535,198
54.18559,18.52794,Trabki Wielkie,Poland,54.17062,18.54003,11
40.61777,8.62704,Florinas,Italy,40.649,8.66548,27
50.28795,3.00096,Lecluse,France,50.27671,3.04045,75
45.572,7.81305,Quincinetto,Italy,45.56157,7.80834,16
52.8531,20.23846,Strzegowo,Poland,52.89394,20.28548,12
45.74798,4.64142,Vaugneray,France,45.73791,4.65645,11
52.90836,9.86129,Soltau,Germany,52.98638,9.84338,30
51.14207,6.62571,Neubrueck,Germany,51.13434,6.63857,974
46.74348,13.41642,Baldramsdorf,Austria,46.80111,13.45333,48
45.08412,13.92157,Svetvincenat,Croatia,45.08806,13.88361,68
60.17075,11.30587,Neskollen,Norway,60.12159,11.33926,11
48.16305,1.58656,Orgeres-en-Beauce,France,48.14636,1.6838,32
51.65216,11.66582,Belleben,Germany,51.67499,11.6342,128
46.34755,21.16002,Dombegyhaz,Hungary,46.33333,21.13333,135
37.8422,22.76134,Ayios Vasilios,Greece,37.79763,22.79727,13
51.32835,3.80478,Terneuzen,Netherlands,51.33583,3.82778,497
40.13905,18.22681,Cutrofiano,Italy,40.12616,18.2026,22
44.42113,26.01162,Bucuresti (Bucharest),Romania,44.4328,26.1043,114
48.42134,11.15563,Sielenbach,Germany,48.4,11.16667,12
48.0196,-4.1046,Quimper,France,47.99597,-4.09795,42
49.4756,13.22403,Svihov,Czech Republic,49.48136,13.28417,178
36.04896,27.76094,Emponas,Greece,36.22683,27.85645,40
43.3073,21.62977,Prokuplje,Serbia,43.23417,21.58806,55
53.99826,12.31299,Laage,Germany,53.9256,12.34694,142
45.03299,12.16048,Loreo,Italy,45.06213,12.18812,48
51.51858,10.62092,Walkenried,Germany,51.58333,10.61667,18
49.73922,2.48687,Moreuil,France,49.77457,2.48273,50
44.29975,9.87662,Mulazzo,Italy,44.31564,9.89101,313
47.41194,15.01345,Trofaiach,Austria,47.42524,15.00681,97
48.56325,-3.35327,Louargat,France,48.56613,-3.33864,36
52.23271,11.06612,Harbke,Germany,52.18877,11.04624,71
45.70154,16.07243,Zagreb,Croatia,45.8144,15.9780,14
49.88248,18.36903,Rychvald,Czech Republic,49.86625,18.37626,65
52.8458,8.52852,Harpstedt,Germany,52.90942,8.58962,102
50.93384,6.20569,Baesweiler,Germany,50.90964,6.18874,55
53.13596,15.16084,Dolice,Poland,53.19081,15.20267,56
44.98766,11.01628,San Giacomo delle Segnate,Italy,44.97418,11.03434,1597
50.73192,11.20519,Rottenbach,Germany,50.68782,11.16674,67
51.06485,9.35424,Wabern,Germany,51.1,9.35,359
49.45131,3.96843,Guignicourt,France,49.43714,3.96755,45
53.62774,10.57012,Nusse,Germany,53.65654,10.58391,184
45.54475,9.88211,Urago d'Oglio,Italy,45.51598,9.86966,187
43.43837,11.83126,Battifolle-Ruscello-Poggiola,Italy,43.45,11.8,115
50.74316,3.26123,Rollegem,Belgium,50.76565,3.26317,148
54.20813,12.88115,Richtenberg,Germany,54.20131,12.89409,13
41.3208,14.97479,Foiano di Val Fortore,Italy,41.35283,14.97635,129
48.20576,7.28813,Ribeauville,France,48.1951,7.31938,16
47.87803,12.24812,Prutting,Germany,47.89321,12.20238,17
43.30589,6.03624,Gareoult,France,43.32833,6.04616,42
49.16644,-0.71457,Tilly-sur-Seulles,France,49.17598,-0.62605,114
42.74274,11.53536,Semproniano,Italy,42.72923,11.54134,196
53.17805,6.24246,Marum,Netherlands,53.14417,6.2625,25
48.34499,12.39295,Bodenkirchen,Germany,48.38333,12.38333,32
47.65914,16.12553,Warth,Austria,47.65,16.11667,33
35.20824,24.89472,Zaros,Greece,35.1303,24.90412,63
48.6166,13.61031,Hauzenberg,Germany,48.64957,13.62645,18
50.67953,5.54543,Rocourt,Belgium,50.67579,5.54621,28
52.52242,13.19011,Berlin,Germany,52.5244,13.4105,2021
54.36194,9.04428,Lehe,Germany,54.34143,9.02374,111
42.81749,23.34197,Sofia,Bulgaria,42.6975,23.3242,76
37.05046,14.88213,Palazzolo Acreide,Italy,37.06261,14.90593,387
49.9706,19.667,Czernichow,Poland,49.9892,19.68115,13
46.1396,-0.35818,Fors,France,46.23622,-0.40967,37
48.30035,8.45935,Seedorf,Germany,48.24908,8.48993,13
45.09197,25.54799,Visinesti,Romania,45.1,25.55,24
46.51901,11.14812,San Felice,Italy,46.49429,11.13022,238
49.60551,8.76849,Rimbach,Germany,49.625,8.76306,761
51.45967,5.03867,Poppel,Belgium,51.44565,5.0433,64
50.28306,7.71148,Dachsenhausen,Germany,50.25415,7.72725,520
51.79419,14.40834,Peitz,Germany,51.85841,14.41138,12
41.60928,13.64183,Santopadre,Italy,41.60193,13.63548,900
51.67928,15.01352,Lipinki Luzyckie,Poland,51.63954,14.99874,66
44.86937,26.06746,Romanesti,Romania,44.86667,26.06667,410
63.21117,10.29959,Lundamo,Norway,63.15216,10.28555,20
42.08801,14.33149,Altino,Italy,42.09954,14.33267,158
52.03872,5.45534,Amerongen,Netherlands,52.0025,5.45972,83
43.09737,0.77124,Saint-Gaudens,France,43.10813,0.72318,39
41.03889,15.77874,Lavello,Italy,41.04769,15.78915,578
51.22786,13.32897,Lommatzsch,Germany,51.19537,13.30917,14
50.71883,1.89839,Licques,France,50.78416,1.93844,576
48.26501,18.10961,Nitra,Slovakia,48.30763,18.08453,23
49.14993,12.71722,Zandt,Germany,49.15,12.73333,94
50.02452,10.31255,Schonungen,Germany,50.05008,10.30809,90
45.66848,16.85369,Veliki Prokop,Croatia,45.63458,16.84115,15
43.49922,12.92699,Arcevia,Italy,43.50177,12.945,55
38.5905,16.27069,Sorianello,Italy,38.59415,16.23212,184
46.86337,15.70007,Glojach,Austria,46.86667,15.66667,113
46.35399,17.00613,Nagykanizsa,Hungary,46.45347,16.99104,25
47.81224,-3.32078,Caudan,France,47.80995,-3.34255,245
48.05438,2.73552,Cepoy,France,48.04795,2.73782,13
52.66648,4.86965,Amsterdam,Netherlands,52.3740,4.8897,560
45.36151,18.84062,Nustar,Croatia,45.3325,18.84139,17
50.76262,8.76722,Marburg an der Lahn,Germany,50.80904,8.77069,307
42.23193,8.82677,Sarrola,France,42.02828,8.84241,11
45.74098,26.94192,Mera,Romania,45.76667,26.95,12
52.28929,10.41294,Voelkenrode,Germany,52.30418,10.44079,681
40.43323,19.69088,Vllahine,Albania,40.45694,19.64361,44
45.67774,12.41527,Monastier di Treviso,Italy,45.65778,12.4175,294
51.13287,4.32724,Bruxelles-Brussel,Belgium,50.8467,4.3499,127
52.45256,17.04963,Kobylnica,Poland,52.44597,17.07644,43
50.58329,17.93795,Proszkow,Poland,50.5767,17.87143,19
43.72168,26.146,Vetovo,Bulgaria,43.7,26.26667,54
43.79321,10.52521,Lucca,Italy,43.84369,10.50447,262
45.26562,19.53467,Celarevo,Serbia,45.26999,19.52484,34
47.43323,-0.54134,Sainte-Gemmes-sur-Loire,France,47.4229,-0.55684,36
49.7118,3.06222,Eppeville,France,49.74069,3.05114,18
